Prob #  	Author  	Avg Time    	Total Time  	Avg Mem     	Max Mem     
1005    	canon   	1.8448E+05  	1.8448E+10  	4.3891E+02  	2.7945E+01  
1005    	chatgpt 	7.4070E+03  	7.4070E+08  	2.1553E+01  	2.7879E+01  
1005    	claude  	8.1274E+03  	8.1274E+08  	2.3743E+01  	2.8105E+01  
1005    	gemini  	-- IR --    	            	1.3589E+00  	2.3922E+01  
1013    	canon   	6.9062E+03  	6.9062E+08  	2.0045E+01  	2.7395E+01  
1013    	chatgpt 	3.6338E+03  	3.6338E+08  	1.2325E+01  	2.7695E+01  
1013    	claude  	4.0340E+03  	4.0340E+08  	1.2637E+01  	2.7484E+01  
1013    	gemini  	3.3088E+03  	3.3088E+08  	1.0756E+01  	2.7609E+01  
409     	canon   	1.4449E+04  	1.4449E+09  	3.9152E+01  	2.7496E+01  
409     	chatgpt 	1.7409E+04  	1.7409E+09  	4.6978E+01  	2.7586E+01  
409     	claude  	7.9923E+03  	7.9923E+08  	2.2619E+01  	2.7461E+01  
409     	gemini  	8.5837E+03  	8.5837E+08  	2.4569E+01  	2.7547E+01  
455     	canon   	5.4477E+03  	5.4477E+08  	1.6582E+01  	2.8070E+01  
455     	chatgpt 	4.0553E+03  	4.0553E+08  	1.3048E+01  	2.8273E+01  
455     	claude  	4.4536E+03  	4.4536E+08  	1.4139E+01  	2.8250E+01  
455     	gemini  	4.2664E+03  	4.2664E+08  	1.3555E+01  	2.8191E+01  
561     	canon   	5.7431E+03  	5.7431E+08  	1.7520E+01  	2.8301E+01  
561     	chatgpt 	4.5001E+03  	4.5001E+08  	1.4520E+01  	2.8504E+01  
561     	claude  	6.1826E+03  	6.1826E+08  	1.8708E+01  	2.8492E+01  
561     	gemini  	5.8016E+03  	5.8016E+08  	1.7931E+01  	2.8609E+01  
605     	canon   	1.2058E+04  	1.2058E+09  	3.3814E+01  	2.7969E+01  
605     	chatgpt 	4.2205E+03  	4.2205E+08  	1.3519E+01  	2.8086E+01  
605     	claude  	3.8725E+03  	3.8725E+08  	1.2485E+01  	2.7781E+01  
605     	gemini  	4.7822E+03  	4.7822E+08  	1.4835E+01  	2.7980E+01  
680     	canon   	4.0205E+03  	4.0205E+08  	1.2766E+01  	2.7730E+01  
680     	chatgpt 	3.8402E+03  	3.8402E+08  	1.2218E+01  	2.7758E+01  
680     	claude  	4.1341E+03  	4.1341E+08  	1.2846E+01  	2.7555E+01  
680     	gemini  	3.7441E+03  	3.7441E+08  	1.1915E+01  	2.7555E+01  
860     	canon   	2.7167E+03  	2.7167E+08  	1.0106E+01  	2.9164E+01  
860     	chatgpt 	2.7398E+03  	2.7398E+08  	1.0165E+01  	2.9145E+01  
860     	claude  	2.5213E+03  	2.5213E+08  	9.6360E+00  	2.9293E+01  
860     	gemini  	3.0816E+03  	3.0816E+08  	1.1051E+01  	2.9195E+01  
942     	canon   	5.3605E+03  	5.3605E+08  	1.6131E+01  	2.7816E+01  
942     	chatgpt 	3.8688E+03  	3.8688E+08  	1.2644E+01  	2.7965E+01  
942     	claude  	3.7693E+03  	3.7693E+08  	1.2180E+01  	2.7906E+01  
942     	gemini  	5.6098E+03  	5.6098E+08  	1.6986E+01  	2.7910E+01  
976     	canon   	3.7353E+03  	3.7353E+08  	1.2154E+01  	2.8066E+01  
976     	chatgpt 	4.0916E+03  	4.0916E+08  	1.3197E+01  	2.8055E+01  
976     	claude  	4.0618E+03  	4.0618E+08  	1.2990E+01  	2.7891E+01  
976     	gemini  	4.0099E+03  	4.0099E+08  	1.2719E+01  	2.7863E+01  
