Prob #  	Author  	Avg Time    	Total Time  	Avg Mem     	Max Mem     
135     	canon   	7.7417E+04  	7.7417E+09  	2.1617E+02  	2.9613E+01  
135     	chatgpt 	4.9108E+04  	4.9108E+09  	1.3624E+02  	2.9277E+01  
135     	claude  	4.7912E+04  	4.7912E+09  	1.3431E+02  	2.9340E+01  
135     	gemini  	4.8377E+04  	4.8377E+09  	8.6822E+01  	2.9340E+01  
321     	canon   	1.2440E+05  	1.2440E+10  	3.3706E+02  	2.8875E+01  
321     	chatgpt 	1.0603E+05  	1.0603E+10  	2.8288E+02  	2.8418E+01  
321     	claude  	1.0002E+05  	1.0002E+10  	2.2021E+02  	2.8445E+01  
321     	gemini  	1.1012E+05  	1.1012E+10  	2.9473E+02  	2.8500E+01  
330     	canon   	7.4726E+05  	7.4726E+10  	4.5618E+03  	6.8391E+01  
330     	chatgpt 	7.5664E+05  	7.5664E+10  	4.5310E+03  	6.8801E+01  
330     	claude  	7.9275E+05  	7.9275E+10  	4.8824E+03  	6.8520E+01  
330     	gemini  	8.6890E+05  	8.6890E+10  	5.2489E+03  	6.8797E+01  
358     	canon   	2.9945E+04  	2.9945E+09  	7.8907E+01  	2.7297E+01  
358     	chatgpt 	2.7908E+04  	2.7908E+09  	7.3747E+01  	2.7355E+01  
358     	claude  	-- IR --    	            	1.4347E+00  	2.3414E+01  
358     	gemini  	-- IR --    	            	1.3049E+00  	2.3219E+01  
410     	canon   	5.4974E+04  	5.4974E+09  	1.4370E+02  	2.7680E+01  
410     	chatgpt 	5.1547E+04  	5.1547E+09  	1.3573E+02  	2.7840E+01  
410     	claude  	5.5838E+04  	5.5838E+09  	1.4735E+02  	2.7848E+01  
410     	gemini  	5.8767E+04  	5.8767E+09  	1.1311E+02  	2.7715E+01  
44      	canon   	4.8139E+04  	4.8139E+09  	1.2595E+02  	2.7484E+01  
44      	chatgpt 	3.8930E+03  	3.8930E+08  	1.2400E+01  	2.7625E+01  
44      	claude  	5.7147E+04  	5.7147E+09  	1.4864E+02  	2.7594E+01  
44      	gemini  	4.2456E+03  	4.2456E+08  	1.3232E+01  	2.7566E+01  
517     	canon   	4.9449E+03  	4.9449E+08  	1.5350E+01  	2.7789E+01  
517     	chatgpt 	4.7672E+03  	4.7672E+08  	1.4882E+01  	2.7836E+01  
517     	claude  	4.4959E+03  	4.4959E+08  	1.4159E+01  	2.7781E+01  
517     	gemini  	4.4554E+03  	4.4554E+08  	1.3812E+01  	2.7676E+01  
527     	canon   	1.8383E+05  	1.8383E+10  	4.3767E+02  	2.8195E+01  
527     	chatgpt 	3.9198E+04  	3.9198E+09  	1.0598E+02  	2.8469E+01  
527     	claude  	-- NR --    	            	1.6055E+00  	2.4371E+01  
527     	gemini  	3.8563E+04  	3.8563E+09  	1.0388E+02  	2.8367E+01  
630     	canon   	1.3522E+04  	1.3522E+09  	3.8823E+01  	2.8766E+01  
630     	chatgpt 	1.3302E+04  	1.3302E+09  	3.8648E+01  	2.8816E+01  
630     	claude  	1.4976E+04  	1.4976E+09  	4.2821E+01  	2.8598E+01  
630     	gemini  	1.3328E+04  	1.3328E+09  	3.8209E+01  	2.8805E+01  
632     	canon   	9.7509E+04  	9.7509E+09  	2.6097E+02  	2.8594E+01  
632     	chatgpt 	4.8389E+04  	4.8389E+09  	8.7057E+01  	2.8402E+01  
632     	claude  	5.6006E+04  	5.6006E+09  	1.5062E+02  	2.8531E+01  
632     	gemini  	4.9849E+04  	4.9849E+09  	1.3557E+02  	2.8648E+01  
